"Mnozstvi","Rok","Doprava","Latka","Jednotka"
4811.040417450683,"1993","individualni_automobilova","CO2","kt"
5623.350847356358,"1994","individualni_automobilova","CO2","kt"
5711.777650372057,"1995","individualni_automobilova","CO2","kt"
6262.645763583215,"1996","individualni_automobilova","CO2","kt"
6363.511286973117,"1997","individualni_automobilova","CO2","kt"
6790.250639721052,"1998","individualni_automobilova","CO2","kt"
7268.461017809299,"1999","individualni_automobilova","CO2","kt"
7391.258598828585,"2000","individualni_automobilova","CO2","kt"
7807.091365845713,"2001","individualni_automobilova","CO2","kt"
8294.555686340791,"2002","individualni_automobilova","CO2","kt"
9596.045294930615,"2003","individualni_automobilova","CO2","kt"
9996.727365429802,"2004","individualni_automobilova","CO2","kt"
10578.776441273672,"2005","individualni_automobilova","CO2","kt"
10822.149133588618,"2006","individualni_automobilova","CO2","kt"
11544.630325398086,"2007","individualni_automobilova","CO2","kt"
11365.232066182602,"2008","individualni_automobilova","CO2","kt"
11294.560651472546,"2009","individualni_automobilova","CO2","kt"
10761.264922190538,"2010","individualni_automobilova","CO2","kt"
10886.51353523292,"2011","individualni_automobilova","CO2","kt"
10621.907703956487,"2012","individualni_automobilova","CO2","kt"
10690.251657607563,"2013","individualni_automobilova","CO2","kt"
10978.008654113806,"2014","individualni_automobilova","CO2","kt"
11460.574212158286,"2015","individualni_automobilova","CO2","kt"
12068.301691162524,"2016","individualni_automobilova","CO2","kt"
12419.772342642826,"2017","individualni_automobilova","CO2","kt"
12751.486477785664,"2018","individualni_automobilova","CO2","kt"
1564.9186251744109,"1993","verejna_silnicni_autobusy","CO2","kt"
1440.9018592716561,"1994","verejna_silnicni_autobusy","CO2","kt"
1106.2428199859914,"1995","verejna_silnicni_autobusy","CO2","kt"
910.8322396919601,"1996","verejna_silnicni_autobusy","CO2","kt"
797.6666830951759,"1997","verejna_silnicni_autobusy","CO2","kt"
942.6850838807775,"1998","verejna_silnicni_autobusy","CO2","kt"
838.5714899382994,"1999","verejna_silnicni_autobusy","CO2","kt"
813.7870756949561,"2000","verejna_silnicni_autobusy","CO2","kt"
850.2471197821819,"2001","verejna_silnicni_autobusy","CO2","kt"
827.6876422569051,"2002","verejna_silnicni_autobusy","CO2","kt"
842.0205845731181,"2003","verejna_silnicni_autobusy","CO2","kt"
822.622990332724,"2004","verejna_silnicni_autobusy","CO2","kt"
875.7273231271478,"2005","verejna_silnicni_autobusy","CO2","kt"
863.619235067451,"2006","verejna_silnicni_autobusy","CO2","kt"
883.5458021908863,"2007","verejna_silnicni_autobusy","CO2","kt"
940.4374300125562,"2008","verejna_silnicni_autobusy","CO2","kt"
966.960328035068,"2009","verejna_silnicni_autobusy","CO2","kt"
982.6159525897081,"2010","verejna_silnicni_autobusy","CO2","kt"
999.2870492269725,"2011","verejna_silnicni_autobusy","CO2","kt"
1013.2527210882206,"2012","verejna_silnicni_autobusy","CO2","kt"
946.7279419725309,"2013","verejna_silnicni_autobusy","CO2","kt"
1076.5377159544241,"2014","verejna_silnicni_autobusy","CO2","kt"
1033.0672349343592,"2015","verejna_silnicni_autobusy","CO2","kt"
1018.5307432912379,"2016","verejna_silnicni_autobusy","CO2","kt"
989.3893306909223,"2017","verejna_silnicni_autobusy","CO2","kt"
904.2126627173601,"2018","verejna_silnicni_autobusy","CO2","kt"
2941.44463766579,"1993","silnicni_nakladni","CO2","kt"
3142.9553596161304,"1994","silnicni_nakladni","CO2","kt"
2659.7465990673404,"1995","silnicni_nakladni","CO2","kt"
2527.1929989223167,"1996","silnicni_nakladni","CO2","kt"
2511.0456491592986,"1997","silnicni_nakladni","CO2","kt"
3157.7308962683055,"1998","silnicni_nakladni","CO2","kt"
3150.7600324062582,"1999","silnicni_nakladni","CO2","kt"
3261.6246455594674,"2000","silnicni_nakladni","CO2","kt"
3614.8313694959675,"2001","silnicni_nakladni","CO2","kt"
3808.71959208285,"2002","silnicni_nakladni","CO2","kt"
4268.20423458638,"2003","silnicni_nakladni","CO2","kt"
4566.162631575323,"2004","silnicni_nakladni","CO2","kt"
5185.029722830946,"2005","silnicni_nakladni","CO2","kt"
5323.798282608093,"2006","silnicni_nakladni","CO2","kt"
5493.378801467241,"2007","silnicni_nakladni","CO2","kt"
5631.027285013847,"2008","silnicni_nakladni","CO2","kt"
5351.649964811633,"2009","silnicni_nakladni","CO2","kt"
4997.343219691537,"2010","silnicni_nakladni","CO2","kt"
4912.970075666254,"2011","silnicni_nakladni","CO2","kt"
4882.380934277916,"2012","silnicni_nakladni","CO2","kt"
4789.512774130578,"2013","silnicni_nakladni","CO2","kt"
5020.462732498334,"2014","silnicni_nakladni","CO2","kt"
