"Hodnota","Jednotka","Rok","Vyuziti"
615613.8249400001,"t",2009,"Recyklace"
646013.9179030001,"t",2010,"Recyklace"
659175,"t",2011,"Recyklace"
672538.2348,"t",2012,"Recyklace"
703356.7912999999,"t",2013,"Recyklace"
744280.1366,"t",2014,"Recyklace"
807788,"t",2015,"Recyklace"
866013.3703000001,"t",2016,"Recyklace"
880892.7946,"t",2017,"Recyklace"
902871.1727,"t",2018,"Recyklace"
216183.18806,"t",2009,"Ostatní způsoby nakládání"
203643.6810279999,"t",2010,"Ostatní způsoby nakládání"
234092,"t",2011,"Ostatní způsoby nakládání"
253918.94810000004,"t",2012,"Ostatní způsoby nakládání"
254119.82830000005,"t",2013,"Ostatní způsoby nakládání"
218597.64119999995,"t",2014,"Ostatní způsoby nakládání"
223313,"t",2015,"Ostatní způsoby nakládání"
230725.69290505105,"t",2016,"Ostatní způsoby nakládání"
255256.97470000002,"t",2017,"Ostatní způsoby nakládání"
338395.9833999999,"t",2018,"Ostatní způsoby nakládání"
62556.479999999996,"t",2009,"Energetické využití"
73068.3146,"t",2010,"Energetické využití"
52049,"t",2011,"Energetické využití"
35888.3334,"t",2012,"Energetické využití"
48272.324199999995,"t",2013,"Energetické využití"
56927.1069,"t",2014,"Energetické využití"
56661,"t",2015,"Energetické využití"
53103.814494948994,"t",2016,"Energetické využití"
59224.473699999995,"t",2017,"Energetické využití"
55616.149600000004,"t",2018,"Energetické využití"
