"Hodnota","Jednotka","Rok","Vyuziti","Material"
188086.425,"tis. tun","2009","Vzniklé obal. odpady","Sklo"
133902.3463,"tis. tun","2009","Recyklace celkem","Sklo"
0,"tis. tun","2009","Energetické využití","Sklo"
176270.5615,"tis. tun","2010","Vzniklé obal. odpady","Sklo"
128886.0745,"tis. tun","2010","Recyklace celkem","Sklo"
0,"tis. tun","2010","Energetické využití","Sklo"
186966,"tis. tun","2011","Vzniklé obal. odpady","Sklo"
139193,"tis. tun","2011","Recyklace celkem","Sklo"
0,"tis. tun","2011","Energetické využití","Sklo"
193847.6174,"tis. tun","2012","Vzniklé obal. odpady","Sklo"
157246.2049,"tis. tun","2012","Recyklace celkem","Sklo"
0,"tis. tun","2012","Energetické využití","Sklo"
197844.3523,"tis. tun","2013","Vzniklé obal. odpady","Sklo"
148331.4663,"tis. tun","2013","Recyklace celkem","Sklo"
0,"tis. tun","2013","Energetické využití","Sklo"
189541.9207,"tis. tun","2014","Vzniklé obal. odpady","Sklo"
135696.604,"tis. tun","2014","Recyklace celkem","Sklo"
0,"tis. tun","2014","Energetické využití","Sklo"
196698,"tis. tun","2015","Vzniklé obal. odpady","Sklo"
142859,"tis. tun","2015","Recyklace celkem","Sklo"
0,"tis. tun","2015","Energetické využití","Sklo"
207366.5233,"tis. tun","2016","Vzniklé obal. odpady","Sklo"
150971.8674,"tis. tun","2016","Recyklace celkem","Sklo"
0,"tis. tun","2016","Energetické využití","Sklo"
201550.768,"tis. tun","2017","Vzniklé obal. odpady","Sklo"
151401.0404,"tis. tun","2017","Recyklace celkem","Sklo"
0,"tis. tun","2017","Energetické využití","Sklo"
217489.1261,"tis. tun","2018","Vzniklé obal. odpady","Sklo"
162686.5265,"tis. tun","2018","Recyklace celkem","Sklo"
0,"tis. tun","2018","Energetické využití","Sklo"
208815.248,"tis. tun","2009","Vzniklé obal. odpady","Plasty"
109594.56664,"tis. tun","2009","Recyklace celkem","Plasty"
38561.18,"tis. tun","2009","Energetické využití","Plasty"
209549.906138,"tis. tun","2010","Vzniklé obal. odpady","Plasty"
113160.58376900002,"tis. tun","2010","Recyklace celkem","Plasty"
47548.18688,"tis. tun","2010","Energetické využití","Plasty"
209414,"tis. tun","2011","Vzniklé obal. odpady","Plasty"
119433,"tis. tun","2011","Recyklace celkem","Plasty"
28593,"tis. tun","2011","Energetické využití","Plasty"
211659.6024,"tis. tun","2012","Vzniklé obal. odpady","Plasty"
123205.5955,"tis. tun","2012","Recyklace celkem","Plasty"
19285.63130000001,"tis. tun","2012","Energetické využití","Plasty"
215122.1782,"tis. tun","2013","Vzniklé obal. odpady","Plasty"
128324.2553,"tis. tun","2013","Recyklace celkem","Plasty"
25477.470299999997,"tis. tun","2013","Energetické využití","Plasty"
218870.8082,"tis. tun","2014","Vzniklé obal. odpady","Plasty"
127338.0591,"tis. tun","2014","Recyklace celkem","Plasty"
32126.202299999997,"tis. tun","2014","Energetické využití","Plasty"
247328,"tis. tun","2015","Vzniklé obal. odpady","Plasty"
152622,"tis. tun","2015","Recyklace celkem","Plasty"
32059,"tis. tun","2015","Energetické využití","Plasty"
236890.5823,"tis. tun","2016","Vzniklé obal. odpady","Plasty"
140281.6398,"tis. tun","2016","Recyklace celkem","Plasty"
30335.91078271004,"tis. tun","2016","Energetické využití","Plasty"
248584.6019,"tis. tun","2017","Vzniklé obal. odpady","Plasty"
146408.19090000002,"tis. tun","2017","Recyklace celkem","Plasty"
34388.1885,"tis. tun","2017","Energetické využití","Plasty"
267477.5918,"tis. tun","2018","Vzniklé obal. odpady","Plasty"
152445.0601,"tis. tun","2018","Recyklace celkem","Plasty"
34312.6752,"tis. tun","2018","Energetické využití","Plasty"
337798.805,"tis. tun","2009","Vzniklé obal. odpady","Papír / lepenka"
317033.958,"tis. tun","2009","Recyklace celkem","Papír / lepenka"
17065.85,"tis. tun","2009","Energetické využití","Papír / lepenka"
353413.45852,"tis. tun","2010","Vzniklé obal. odpady","Papír / lepenka"
330506.573751,"tis. tun","2010","Recyklace celkem","Papír / lepenka"
19226.56862,"tis. tun","2010","Energetické využití","Papír / lepenka"
374591,"tis. tun","2011","Vzniklé obal. odpady","Papír / lepenka"
339056,"tis. tun","2011","Recyklace celkem","Papír / lepenka"
18065,"tis. tun","2011","Energetické využití","Papír / lepenka"
379627.4248,"tis. tun","2012","Vzniklé obal. odpady","Papír / lepenka"
326121.1056,"tis. tun","2012","Recyklace celkem","Papír / lepenka"
12141.3517,"tis. tun","2012","Energetické využití","Papír / lepenka"
398846.1299,"tis. tun","2013","Vzniklé obal. odpady","Papír / lepenka"
349568.1616999999,"tis. tun","2013","Recyklace celkem","Papír / lepenka"
16251.669300000001,"tis. tun","2013","Energetické využití","Papír / lepenka"
410674.937,"tis. tun","2014","Vzniklé obal. odpady","Papír / lepenka"
363905.94570000004,"tis. tun","2014","Recyklace celkem","Papír / lepenka"
18847.948200000003,"tis. tun","2014","Energetické využití","Papír / lepenka"
430751,"tis. tun","2015","Vzniklé obal. odpady","Papír / lepenka"
388176,"tis. tun","2015","Recyklace celkem","Papír / lepenka"
18714,"tis. tun","2015","Energetické využití","Papír / lepenka"
466109.0837,"tis. tun","2016","Vzniklé obal. odpady","Papír / lepenka"
436731.649,"tis. tun","2016","Recyklace celkem","Papír / lepenka"
17134.00701223895,"tis. tun","2016","Energetické využití","Papír / lepenka"
497524.2796,"tis. tun","2017","Vzniklé obal. odpady","Papír / lepenka"
450725.6808,"tis. tun","2017","Recyklace celkem","Papír / lepenka"
19474.6013,"tis. tun","2017","Energetické využití","Papír / lepenka"
529487.6293,"tis. tun","2018","Vzniklé obal. odpady","Papír / lepenka"
453029.4878,"tis. tun","2018","Recyklace celkem","Papír / lepenka"
17495.683299999975,"tis. tun","2018","Energetické využití","Papír / lepenka"
45524.12,"tis. tun","2009","Vzniklé obal. odpady","Kovy"
23662.98,"tis. tun","2009","Recyklace celkem","Kovy"
0,"tis. tun","2009","Energetické využití","Kovy"
49751.961073,"tis. tun","2010","Vzniklé obal. odpady","Kovy"
31825.897283000002,"tis. tun","2010","Recyklace celkem","Kovy"
0,"tis. tun","2010","Energetické využití","Kovy"
51282,"tis. tun","2011","Vzniklé obal. odpady","Kovy"
34850,"tis. tun","2011","Recyklace celkem","Kovy"
0,"tis. tun","2011","Energetické využití","Kovy"
54294.5993,"tis. tun","2012","Vzniklé obal. odpady","Kovy"
37575.7731,"tis. tun","2012","Recyklace celkem","Kovy"
0,"tis. tun","2012","Energetické využití","Kovy"
59846.572,"tis. tun","2013","Vzniklé obal. odpady","Kovy"
35022.410299999996,"tis. tun","2013","Recyklace celkem","Kovy"
0,"tis. tun","2013","Energetické využití","Kovy"
59403.132300000005,"tis. tun","2014","Vzniklé obal. odpady","Kovy"
38583.229,"tis. tun","2014","Recyklace celkem","Kovy"
11.8856,"tis. tun","2014","Energetické využití","Kovy"
56485,"tis. tun","2015","Vzniklé obal. odpady","Kovy"
33085,"tis. tun","2015","Recyklace celkem","Kovy"
0,"tis. tun","2015","Energetické využití","Kovy"
64396.1362,"tis. tun","2016","Vzniklé obal. odpady","Kovy"
40830.8831,"tis. tun","2016","Recyklace celkem","Kovy"
0,"tis. tun","2016","Energetické využití","Kovy"
73051.5536,"tis. tun","2017","Vzniklé obal. odpady","Kovy"
54102.6568,"tis. tun","2017","Recyklace celkem","Kovy"
0,"tis. tun","2017","Energetické využití","Kovy"
79094.7754,"tis. tun","2018","Vzniklé obal. odpady","Kovy"
53429.7261,"tis. tun","2018","Recyklace celkem","Kovy"
0,"tis. tun","2018","Energetické využití","Kovy"
86343.33899999999,"tis. tun","2009","Vzniklé obal. odpady","Dřevo"
28446.72,"tis. tun","2009","Recyklace celkem","Dřevo"
6062.09,"tis. tun","2009","Energetické využití","Dřevo"
105357.66,"tis. tun","2010","Vzniklé obal. odpady","Dřevo"
38275.0927,"tis. tun","2010","Recyklace celkem","Dřevo"
5774.226400000003,"tis. tun","2010","Energetické využití","Dřevo"
94548,"tis. tun","2011","Vzniklé obal. odpady","Dřevo"
26099,"tis. tun","2011","Recyklace celkem","Dřevo"
4948,"tis. tun","2011","Energetické využití","Dřevo"
95255.3824,"tis. tun","2012","Vzniklé obal. odpady","Dřevo"
24478.7121,"tis. tun","2012","Recyklace celkem","Dřevo"
4400.8014,"tis. tun","2012","Energetické využití","Dřevo"
106266.8869,"tis. tun","2013","Vzniklé obal. odpady","Dřevo"
37843.4877,"tis. tun","2013","Recyklace celkem","Dřevo"
6088.062599999998,"tis. tun","2013","Energetické využití","Dřevo"
