"Hodnota","Jednotka","Rok","Návštěvnost"
93555,"Počet",2010,"Návštěvnost vlastních infostředisek"
109204,"Počet",2011,"Návštěvnost vlastních infostředisek"
54929,"Počet",2012,"Návštěvnost vlastních infostředisek"
71544,"Počet",2013,"Návštěvnost vlastních infostředisek"
68060,"Počet",2014,"Návštěvnost vlastních infostředisek"
69785,"Počet",2015,"Návštěvnost vlastních infostředisek"
75067,"Počet",2016,"Návštěvnost vlastních infostředisek"
65994,"Počet",2017,"Návštěvnost vlastních infostředisek"
66675,"Počet",2018,"Návštěvnost vlastních infostředisek"
58097,"Počet",2010,"Návštěvnost muzeí"
64609,"Počet",2011,"Návštěvnost muzeí"
67172,"Počet",2012,"Návštěvnost muzeí"
58568,"Počet",2013,"Návštěvnost muzeí"
59842,"Počet",2014,"Návštěvnost muzeí"
51445,"Počet",2015,"Návštěvnost muzeí"
59880,"Počet",2016,"Návštěvnost muzeí"
48899,"Počet",2017,"Návštěvnost muzeí"
34122,"Počet",2018,"Návštěvnost muzeí"
,"Počet",2010,"Celková návštěvnost parku"
,"Počet",2011,"Celková návštěvnost parku"
,"Počet",2012,"Celková návštěvnost parku"
,"Počet",2013,"Celková návštěvnost parku"
,"Počet",2014,"Celková návštěvnost parku"
,"Počet",2015,"Celková návštěvnost parku"
,"Počet",2016,"Celková návštěvnost parku"
1027628,"Počet",2017,"Celková návštěvnost parku"
1746820,"Počet",2018,"Celková návštěvnost parku"
