"Hodnota","Jednotka","Rok","Financovani"
379002004.36,"Kč",2010,"Vlastní zdroje"
332399941.9800001,"Kč",2011,"Vlastní zdroje"
167953816.98999995,"Kč",2012,"Vlastní zdroje"
208599015.18000007,"Kč",2013,"Vlastní zdroje"
209815035.10999998,"Kč",2014,"Vlastní zdroje"
234577943.91000003,"Kč",2015,"Vlastní zdroje"
213930059.28,"Kč",2016,"Vlastní zdroje"
300683346.9,"Kč",2017,"Vlastní zdroje"
338508729.9200001,"Kč",2018,"Vlastní zdroje"
608201705.44,"Kč",2010,"Celkem"
549266285.98,"Kč",2011,"Celkem"
402448234.98999995,"Kč",2012,"Celkem"
388804199.18000007,"Kč",2013,"Celkem"
390620594.11,"Kč",2014,"Celkem"
437760700.91,"Kč",2015,"Celkem"
378980217.28,"Kč",2016,"Celkem"
474921557.9,"Kč",2017,"Celkem"
562877885.9200001,"Kč",2018,"Celkem"
179268132,"Kč",2010,"Příspěvek zřizovatele"
152887822,"Kč",2011,"Příspěvek zřizovatele"
182977329.00000003,"Kč",2012,"Příspěvek zřizovatele"
131439419.99999999,"Kč",2013,"Příspěvek zřizovatele"
109374085,"Kč",2014,"Příspěvek zřizovatele"
114008403.65,"Kč",2015,"Příspěvek zřizovatele"
109352877.49999997,"Kč",2016,"Příspěvek zřizovatele"
117551744.03,"Kč",2017,"Příspěvek zřizovatele"
128994686.4,"Kč",2018,"Příspěvek zřizovatele"
