"Hodnota","Jednotka","Rok","Prodej"
9892000,"Kč",2010,"Tržby z prodeje dříví (Kč), pravá osa"
9523000,"Kč",2011,"Tržby z prodeje dříví (Kč), pravá osa"
11021000,"Kč",2012,"Tržby z prodeje dříví (Kč), pravá osa"
8807000,"Kč",2013,"Tržby z prodeje dříví (Kč), pravá osa"
8661000,"Kč",2014,"Tržby z prodeje dříví (Kč), pravá osa"
10402000,"Kč",2015,"Tržby z prodeje dříví (Kč), pravá osa"
15233000,"Kč",2016,"Tržby z prodeje dříví (Kč), pravá osa"
15087000,"Kč",2017,"Tržby z prodeje dříví (Kč), pravá osa"
9504553,"Kč",2018,"Tržby z prodeje dříví (Kč), pravá osa"
1024,"Kč",2010,"Průměrná cena (Kč/m3)"
1271,"Kč",2011,"Průměrná cena (Kč/m3)"
1258,"Kč",2012,"Průměrná cena (Kč/m3)"
1292,"Kč",2013,"Průměrná cena (Kč/m3)"
1422,"Kč",2014,"Průměrná cena (Kč/m3)"
1362,"Kč",2015,"Průměrná cena (Kč/m3)"
1219,"Kč",2016,"Průměrná cena (Kč/m3)"
1099,"Kč",2017,"Průměrná cena (Kč/m3)"
823,"Kč",2018,"Průměrná cena (Kč/m3)"
423,"Kč",2010,"Výrobní náklady na m3"
458,"Kč",2011,"Výrobní náklady na m3"
435,"Kč",2012,"Výrobní náklady na m3"
382,"Kč",2013,"Výrobní náklady na m3"
408,"Kč",2014,"Výrobní náklady na m3"
402,"Kč",2015,"Výrobní náklady na m3"
428,"Kč",2016,"Výrobní náklady na m3"
390,"Kč",2017,"Výrobní náklady na m3"
419,"Kč",2018,"Výrobní náklady na m3"
