"Hodnota","Jednotka","Rok","Výdaje"
44589590,"Kč",2010,"Nákup materiálu a služeb"
46419950,"Kč",2011,"Nákup materiálu a služeb"
53808097,"Kč",2012,"Nákup materiálu a služeb"
54379504.3,"Kč",2013,"Nákup materiálu a služeb"
30231075,"Kč",2014,"Nákup materiálu a služeb"
33009530,"Kč",2015,"Nákup materiálu a služeb"
34668468.48,"Kč",2016,"Nákup materiálu a služeb"
41153208.28,"Kč",2017,"Nákup materiálu a služeb"
55156461.910000004,"Kč",2018,"Nákup materiálu a služeb"
1813290,"Kč",2010,"Voda, energie a paliva"
1942310,"Kč",2011,"Voda, energie a paliva"
2366299,"Kč",2012,"Voda, energie a paliva"
2763749,"Kč",2013,"Voda, energie a paliva"
2358408,"Kč",2014,"Voda, energie a paliva"
1639752,"Kč",2015,"Voda, energie a paliva"
1480259,"Kč",2016,"Voda, energie a paliva"
1684327.64,"Kč",2017,"Voda, energie a paliva"
1749030.4300000002,"Kč",2018,"Voda, energie a paliva"
20225000,"Kč",2010,"Mzdy (platy) a zdrav. a soc. poj. "
17844000,"Kč",2011,"Mzdy (platy) a zdrav. a soc. poj. "
19023000,"Kč",2012,"Mzdy (platy) a zdrav. a soc. poj. "
19491300,"Kč",2013,"Mzdy (platy) a zdrav. a soc. poj. "
20468863,"Kč",2014,"Mzdy (platy) a zdrav. a soc. poj. "
21345760,"Kč",2015,"Mzdy (platy) a zdrav. a soc. poj. "
23392261,"Kč",2016,"Mzdy (platy) a zdrav. a soc. poj. "
26059117,"Kč",2017,"Mzdy (platy) a zdrav. a soc. poj. "
29045330,"Kč",2018,"Mzdy (platy) a zdrav. a soc. poj. "
3329260,"Kč",2010,"Ostatní"
5516613,"Kč",2011,"Ostatní"
5632505,"Kč",2012,"Ostatní"
5038244,"Kč",2013,"Ostatní"
6240667.35,"Kč",2014,"Ostatní"
8518220,"Kč",2015,"Ostatní"
5717289,"Kč",2016,"Ostatní"
7550943,"Kč",2017,"Ostatní"
9145564.299999997,"Kč",2018,"Ostatní"
9933150,"Kč",2010,"Opravy a údržba"
12226677,"Kč",2011,"Opravy a údržba"
9195227,"Kč",2012,"Opravy a údržba"
7431507.54,"Kč",2013,"Opravy a údržba"
5719781.77,"Kč",2014,"Opravy a údržba"
9392282.66,"Kč",2015,"Opravy a údržba"
11758143,"Kč",2016,"Opravy a údržba"
10506398,"Kč",2017,"Opravy a údržba"
5683745.36,"Kč",2018,"Opravy a údržba"
