"Hodnota","Jednotka","Rok","Výdaje"
959650,"Kč",2010,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
1515940,"Kč",2011,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
272870,"Kč",2012,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
909315,"Kč",2013,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
0,"Kč",2014,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
0,"Kč",2015,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
2191512,"Kč",2016,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
2080118,"Kč",2017,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
537092,"Kč",2018,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
792770,"Kč",2010,"Budovy, haly a stavby"
2628550,"Kč",2011,"Budovy, haly a stavby"
118320,"Kč",2012,"Budovy, haly a stavby"
2913400,"Kč",2013,"Budovy, haly a stavby"
40110628,"Kč",2014,"Budovy, haly a stavby"
115906968,"Kč",2015,"Budovy, haly a stavby"
11877686,"Kč",2016,"Budovy, haly a stavby"
27370804,"Kč",2017,"Budovy, haly a stavby"
2873645.26,"Kč",2018,"Budovy, haly a stavby"
1564490,"Kč",2010,"Dopravní prostředky"
0,"Kč",2011,"Dopravní prostředky"
0,"Kč",2012,"Dopravní prostředky"
1754999,"Kč",2013,"Dopravní prostředky"
0,"Kč",2014,"Dopravní prostředky"
404040,"Kč",2015,"Dopravní prostředky"
1405341,"Kč",2016,"Dopravní prostředky"
531419,"Kč",2017,"Dopravní prostředky"
0,"Kč",2018,"Dopravní prostředky"
258000,"Kč",2010,"Ostatní"
135000,"Kč",2011,"Ostatní"
0,"Kč",2012,"Ostatní"
78846,"Kč",2013,"Ostatní"
0,"Kč",2014,"Ostatní"
200484,"Kč",2015,"Ostatní"
75000,"Kč",2016,"Ostatní"
310478,"Kč",2017,"Ostatní"
6150,"Kč",2018,"Ostatní"
515280,"Kč",2010,"Stroje, přístroje a zařízení"
0,"Kč",2011,"Stroje, přístroje a zařízení"
594960,"Kč",2012,"Stroje, přístroje a zařízení"
0,"Kč",2013,"Stroje, přístroje a zařízení"
0,"Kč",2014,"Stroje, přístroje a zařízení"
103180,"Kč",2015,"Stroje, přístroje a zařízení"
559863,"Kč",2016,"Stroje, přístroje a zařízení"
1050414,"Kč",2017,"Stroje, přístroje a zařízení"
1728073.6,"Kč",2018,"Stroje, přístroje a zařízení"
