"Hodnota","Jednotka","Rok","Kategorie"
100,"%",1990,"Běžné druhy ptáků"
99.7,"%",1991,"Běžné druhy ptáků"
99.51,"%",1992,"Běžné druhy ptáků"
99.46,"%",1993,"Běžné druhy ptáků"
99.5,"%",1994,"Běžné druhy ptáků"
99.55,"%",1995,"Běžné druhy ptáků"
99.55,"%",1996,"Běžné druhy ptáků"
99.43,"%",1997,"Běžné druhy ptáků"
99.12,"%",1998,"Běžné druhy ptáků"
98.64,"%",1999,"Běžné druhy ptáků"
98.02,"%",2000,"Běžné druhy ptáků"
97.33,"%",2001,"Běžné druhy ptáků"
96.62,"%",2002,"Běžné druhy ptáků"
95.95,"%",2003,"Běžné druhy ptáků"
95.37,"%",2004,"Běžné druhy ptáků"
94.84,"%",2005,"Běžné druhy ptáků"
94.27,"%",2006,"Běžné druhy ptáků"
93.7,"%",2007,"Běžné druhy ptáků"
93.12,"%",2008,"Běžné druhy ptáků"
92.54,"%",2009,"Běžné druhy ptáků"
91.98,"%",2010,"Běžné druhy ptáků"
91.44,"%",2011,"Běžné druhy ptáků"
90.91,"%",2012,"Běžné druhy ptáků"
90.38,"%",2013,"Běžné druhy ptáků"
89.86,"%",2014,"Běžné druhy ptáků"
89.34,"%",2015,"Běžné druhy ptáků"
88.83,"%",2016,"Běžné druhy ptáků"
100,"%",1990,"Ptáci zemědělské krajiny"
96.69,"%",1991,"Ptáci zemědělské krajiny"
93.87,"%",1992,"Ptáci zemědělské krajiny"
91.44,"%",1993,"Ptáci zemědělské krajiny"
89.29,"%",1994,"Ptáci zemědělské krajiny"
87.34,"%",1995,"Ptáci zemědělské krajiny"
85.52,"%",1996,"Ptáci zemědělské krajiny"
83.76,"%",1997,"Ptáci zemědělské krajiny"
81.99,"%",1998,"Ptáci zemědělské krajiny"
80.24,"%",1999,"Ptáci zemědělské krajiny"
78.57,"%",2000,"Ptáci zemědělské krajiny"
76.99,"%",2001,"Ptáci zemědělské krajiny"
75.53,"%",2002,"Ptáci zemědělské krajiny"
74.17,"%",2003,"Ptáci zemědělské krajiny"
72.95,"%",2004,"Ptáci zemědělské krajiny"
71.83,"%",2005,"Ptáci zemědělské krajiny"
70.8,"%",2006,"Ptáci zemědělské krajiny"
69.86,"%",2007,"Ptáci zemědělské krajiny"
68.99,"%",2008,"Ptáci zemědělské krajiny"
68.22,"%",2009,"Ptáci zemědělské krajiny"
67.53,"%",2010,"Ptáci zemědělské krajiny"
66.92,"%",2011,"Ptáci zemědělské krajiny"
66.4,"%",2012,"Ptáci zemědělské krajiny"
65.96,"%",2013,"Ptáci zemědělské krajiny"
65.59,"%",2014,"Ptáci zemědělské krajiny"
65.29,"%",2015,"Ptáci zemědělské krajiny"
65.06,"%",2016,"Ptáci zemědělské krajiny"
100,"%",1990,"Lesní druhy ptáků"
99.9,"%",1991,"Lesní druhy ptáků"
99.74,"%",1992,"Lesní druhy ptáků"
99.59,"%",1993,"Lesní druhy ptáků"
99.43,"%",1994,"Lesní druhy ptáků"
99.24,"%",1995,"Lesní druhy ptáků"
99.01,"%",1996,"Lesní druhy ptáků"
98.73,"%",1997,"Lesní druhy ptáků"
98.36,"%",1998,"Lesní druhy ptáků"
97.84,"%",1999,"Lesní druhy ptáků"
97.18,"%",2000,"Lesní druhy ptáků"
96.46,"%",2001,"Lesní druhy ptáků"
95.76,"%",2002,"Lesní druhy ptáků"
95.19,"%",2003,"Lesní druhy ptáků"
94.8,"%",2004,"Lesní druhy ptáků"
94.54,"%",2005,"Lesní druhy ptáků"
94.29,"%",2006,"Lesní druhy ptáků"
94.06,"%",2007,"Lesní druhy ptáků"
93.88,"%",2008,"Lesní druhy ptáků"
93.75,"%",2009,"Lesní druhy ptáků"
93.7,"%",2010,"Lesní druhy ptáků"
93.73,"%",2011,"Lesní druhy ptáků"
93.82,"%",2012,"Lesní druhy ptáků"
93.98,"%",2013,"Lesní druhy ptáků"
94.19,"%",2014,"Lesní druhy ptáků"
94.45,"%",2015,"Lesní druhy ptáků"
94.75,"%",2016,"Lesní druhy ptáků"
