"Hodnota","Jednotka","Obdobi","Druh","Stav"
12.7,"%","2007–2012","Mammals","Nepříznivý stav"
11.6,"%","2007–2012","Reptiles","Nepříznivý stav"
14.8,"%","2007–2012","Amphibians","Nepříznivý stav"
30.3,"%","2007–2012","Fish","Nepříznivý stav"
21,"%","2007–2012","Arthropods","Nepříznivý stav"
33.3,"%","2007–2012","Molluscs","Nepříznivý stav"
7.1,"%","2007–2012","Other invertebrates","Nepříznivý stav"
28.3,"%","2007–2012","Non-vascular plants","Nepříznivý stav"
15.2,"%","2007–2012","Vascular plants","Nepříznivý stav"
18.2,"%","2007–2012","EU-27","Nepříznivý stav"
21.2,"%","2007–2012","Mammals","Příznivý stav"
25.1,"%","2007–2012","Reptiles","Příznivý stav"
28,"%","2007–2012","Amphibians","Příznivý stav"
16.8,"%","2007–2012","Fish","Příznivý stav"
18.3,"%","2007–2012","Arthropods","Příznivý stav"
18.2,"%","2007–2012","Molluscs","Příznivý stav"
14.3,"%","2007–2012","Other invertebrates","Příznivý stav"
18.2,"%","2007–2012","Non-vascular plants","Příznivý stav"
28.6,"%","2007–2012","Vascular plants","Příznivý stav"
23.1,"%","2007–2012","EU-27","Příznivý stav"
41.8,"%","2007–2012","Mammals","Nedostatečný stav"
40.9,"%","2007–2012","Reptiles","Nedostatečný stav"
46.2,"%","2007–2012","Amphibians","Nedostatečný stav"
49,"%","2007–2012","Fish","Nedostatečný stav"
42.9,"%","2007–2012","Arthropods","Nedostatečný stav"
30.3,"%","2007–2012","Molluscs","Nedostatečný stav"
28.6,"%","2007–2012","Other invertebrates","Nedostatečný stav"
41.4,"%","2007–2012","Non-vascular plants","Nedostatečný stav"
39.2,"%","2007–2012","Vascular plants","Nedostatečný stav"
41.7,"%","2007–2012","EU-27","Nedostatečný stav"
24.2,"%","2007–2012","Mammals","Neznámý stav"
22.3,"%","2007–2012","Reptiles","Neznámý stav"
11,"%","2007–2012","Amphibians","Neznámý stav"
3.9,"%","2007–2012","Fish","Neznámý stav"
17.8,"%","2007–2012","Arthropods","Neznámý stav"
18.2,"%","2007–2012","Molluscs","Neznámý stav"
50,"%","2007–2012","Other invertebrates","Neznámý stav"
12.1,"%","2007–2012","Non-vascular plants","Neznámý stav"
17,"%","2007–2012","Vascular plants","Neznámý stav"
17,"%","2007–2012","EU-27","Neznámý stav"
