"Hodnota","Jednotka","Rok","Latka","Stat"
"","Kilogram ",2017,"Molluscicides","European Union - 27 countries (from 2020)"
"","Kilogram ",2017,"Molluscicides","European Union - 28 countries (2013-2020)"
"","Kilogram ",2017,"Molluscicides","Euro area - 19 countries  (from 2015)"
"19113","Kilogram ",2017,"Molluscicides","Belgium"
"","Kilogram ",2017,"Molluscicides","Bulgaria"
"6782","Kilogram ",2017,"Molluscicides","Czechia"
"13587","Kilogram ",2017,"Molluscicides","Denmark"
"181867","Kilogram ",2017,"Molluscicides","Germany (until 1990 former territory of the FRG)"
"","Kilogram ",2017,"Molluscicides","Estonia"
"14882","Kilogram ",2017,"Molluscicides","Ireland"
"1584","Kilogram ",2017,"Molluscicides","Greece"
"104477","Kilogram ",2017,"Molluscicides","Spain"
"630720","Kilogram ",2017,"Molluscicides","France"
"1596","Kilogram ",2017,"Molluscicides","Croatia"
"37428","Kilogram ",2017,"Molluscicides","Italy"
"1114","Kilogram ",2017,"Molluscicides","Cyprus"
"3495","Kilogram ",2017,"Molluscicides","Latvia"
"","Kilogram ",2017,"Molluscicides","Lithuania"
"429","Kilogram ",2017,"Molluscicides","Luxembourg"
"2162","Kilogram ",2017,"Molluscicides","Hungary"
"235","Kilogram ",2017,"Molluscicides","Malta"
"29642","Kilogram ",2017,"Molluscicides","Netherlands"
"7587","Kilogram ",2017,"Molluscicides","Austria"
"7184","Kilogram ",2017,"Molluscicides","Poland"
"15020","Kilogram ",2017,"Molluscicides","Portugal"
"4981","Kilogram ",2017,"Molluscicides","Romania"
"1046","Kilogram ",2017,"Molluscicides","Slovenia"
"","Kilogram ",2017,"Molluscicides","Slovakia"
"1022","Kilogram ",2017,"Molluscicides","Finland"
"","Kilogram ",2017,"Molluscicides","Sweden"
"","Kilogram ",2017,"Molluscicides","United Kingdom"
"2","Kilogram ",2017,"Molluscicides","Iceland"
"","Kilogram ",2017,"Molluscicides","Liechtenstein"
"2728","Kilogram ",2017,"Molluscicides","Norway"
"29819","Kilogram ",2017,"Molluscicides","Switzerland"
"","Kilogram ",2017,"Molluscicides","Montenegro"
"","Kilogram ",2017,"Molluscicides","North Macedonia"
"","Kilogram ",2017,"Molluscicides","Albania"
