"Hodnota","Jednotka","Rok","Stat"
"178822.17","Thousand ha",2017,"European Union (changing composition)"
"161350.17","Thousand ha",2017,"EU (27 countries - from 2020)"
"178822.17","Thousand ha",2017,"EU (28 countries)"
"","Thousand ha",2017,"Euro area - 19 countries  (from 2015)"
"1329.15","Thousand ha",2017,"Belgium"
"5029.53","Thousand ha",2017,"Bulgaria"
"3521.33","Thousand ha",2017,"Czechia"
"2631.3","Thousand ha",2017,"Denmark"
"16687.3","Thousand ha",2017,"Germany"
"981.83","Thousand ha",2017,"Estonia"
"4489.21","Thousand ha",2017,"Ireland"
"5152.43","Thousand ha",2017,"Greece"
"23840.7","Thousand ha",2017,"Spain"
"29101.33","Thousand ha",2017,"France"
"1496.66","Thousand ha",2017,"Croatia"
"13005.75","Thousand ha",2017,"Italy"
"121.73","Thousand ha",2017,"Cyprus"
"1932.2","Thousand ha",2017,"Latvia"
"2935.31","Thousand ha",2017,"Lithuania"
"131.16","Thousand ha",2017,"Luxembourg"
"5352.28","Thousand ha",2017,"Hungary"
"11.58","Thousand ha",2017,"Malta"
"1789.99","Thousand ha",2017,"Netherlands"
"2655.56","Thousand ha",2017,"Austria"
"14497.6","Thousand ha",2017,"Poland"
"3602.68","Thousand ha",2017,"Portugal"
"13377.93","Thousand ha",2017,"Romania"
"481.42","Thousand ha",2017,"Slovenia"
"1910.65","Thousand ha",2017,"Slovakia"
"2272.2","Thousand ha",2017,"Finland"
"3011.37","Thousand ha",2017,"Sweden"
"17472","Thousand ha",2017,"United Kingdom"
"1555.1","Thousand ha",2017,"Iceland"
"","Thousand ha",2017,"Liechtenstein"
"","Thousand ha",2017,"Norway"
"1517.66","Thousand ha",2017,"Switzerland"
"256.36","Thousand ha",2017,"Montenegro"
"1266.01","Thousand ha",2017,"North Macedonia"
"1174.1","Thousand ha",2017,"Albania"
"3438.1","Thousand ha",2017,"Serbia"
"38120","Thousand ha",2017,"Turkey"
"1762.02","Thousand ha",2017,"Bosnia and Herzegovina"
"417","Thousand ha",2017,"Kosovo (under United Nations Security Council Resolution 1244/99)"
