"Hodnota","Jednotka","Rok","Latka","Stat"
"11,657,687","Tonne",2017,"Nitrogen","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"
"10,626,912","Tonne",2017,"Nitrogen","European Union - 27 countries (from 2020)"
"11,311,026","Tonne",2017,"Nitrogen","European Union - 28 countries (2013-2020)"
"","Tonne",2017,"Nitrogen","Euro area - 19 countries  (from 2015)"
"","Tonne",2017,"Nitrogen","Belgium"
"349,387","Tonne",2017,"Nitrogen","Bulgaria"
"354,988","Tonne",2017,"Nitrogen","Czechia"
"224,759","Tonne",2017,"Nitrogen","Denmark"
"1,520,702","Tonne",2017,"Nitrogen","Germany (until 1990 former territory of the FRG)"
"55,185","Tonne",2017,"Nitrogen","Estonia"
"408,045","Tonne",2017,"Nitrogen","Ireland"
"178,263","Tonne",2017,"Nitrogen","Greece"
"1,072,862","Tonne",2017,"Nitrogen","Spain"
"2,242,926","Tonne",2017,"Nitrogen","France"
"102,456","Tonne",2017,"Nitrogen","Croatia"
"599,242","Tonne",2017,"Nitrogen","Italy"
"4,155","Tonne",2017,"Nitrogen","Cyprus"
"115,570","Tonne",2017,"Nitrogen","Latvia"
"169,891","Tonne",2017,"Nitrogen","Lithuania"
"","Tonne",2017,"Nitrogen","Luxembourg"
"393,064","Tonne",2017,"Nitrogen","Hungary"
"","Tonne",2017,"Nitrogen","Malta"
"214,574","Tonne",2017,"Nitrogen","Netherlands"
"112,592","Tonne",2017,"Nitrogen","Austria"
"1,178,517","Tonne",2017,"Nitrogen","Poland"
"69,199","Tonne",2017,"Nitrogen","Portugal"
"611,773","Tonne",2017,"Nitrogen","Romania"
"25,359","Tonne",2017,"Nitrogen","Slovenia"
"127,927","Tonne",2017,"Nitrogen","Slovakia"
"139,804","Tonne",2017,"Nitrogen","Finland"
"169,795","Tonne",2017,"Nitrogen","Sweden"
"1,030,775","Tonne",2017,"Nitrogen","United Kingdom"
"185,878","Tonne",2017,"Nitrogen","Belgo-Luxembourg Economic Union"
"","Tonne",2017,"Nitrogen","Iceland"
"","Tonne",2017,"Nitrogen","Liechtenstein"
"102,144","Tonne",2017,"Nitrogen","Norway"
"","Tonne",2017,"Nitrogen","Switzerland"
"","Tonne",2017,"Nitrogen","Montenegro"
"","Tonne",2017,"Nitrogen","North Macedonia"
"","Tonne",2017,"Nitrogen","Albania"
"","Tonne",2017,"Nitrogen","Serbia"
"","Tonne",2017,"Nitrogen","Turkey"
"1,186,290","Tonne",2017,"Phosphorus","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"
"1,103,969","Tonne",2017,"Phosphorus","European Union - 27 countries (from 2020)"
"1,164,431","Tonne",2017,"Phosphorus","European Union - 28 countries (2013-2020)"
"","Tonne",2017,"Phosphorus","Euro area - 19 countries  (from 2015)"
"","Tonne",2017,"Phosphorus","Belgium"
"30,390","Tonne",2017,"Phosphorus","Bulgaria"
"22,970","Tonne",2017,"Phosphorus","Czechia"
"14,235","Tonne",2017,"Phosphorus","Denmark"
"95,117","Tonne",2017,"Phosphorus","Germany (until 1990 former territory of the FRG)"
"5,283","Tonne",2017,"Phosphorus","Estonia"
"46,048","Tonne",2017,"Phosphorus","Ireland"
"21,903","Tonne",2017,"Phosphorus","Greece"
"184,754","Tonne",2017,"Phosphorus","Spain"
"186,106","Tonne",2017,"Phosphorus","France"
"11,996","Tonne",2017,"Phosphorus","Croatia"
"71,953","Tonne",2017,"Phosphorus","Italy"
"801","Tonne",2017,"Phosphorus","Cyprus"
"10,176","Tonne",2017,"Phosphorus","Latvia"
"21,094","Tonne",2017,"Phosphorus","Lithuania"
"","Tonne",2017,"Phosphorus","Luxembourg"
"35,113","Tonne",2017,"Phosphorus","Hungary"
"","Tonne",2017,"Phosphorus","Malta"
"5,782","Tonne",2017,"Phosphorus","Netherlands"
"12,539","Tonne",2017,"Phosphorus","Austria"
"147,886","Tonne",2017,"Phosphorus","Poland"
"13,481","Tonne",2017,"Phosphorus","Portugal"
"116,788","Tonne",2017,"Phosphorus","Romania"
"3,700","Tonne",2017,"Phosphorus","Slovenia"
