"Pocet obyvatel","Rok","Kraj","Kategorie"
1237653,"2014","  Hl. město Praha","Celkem"
920218,"2014","  Středočeský","Celkem"
548057,"2014","  Jihočeský","Celkem"
472934,"2014","  Plzeňský","Celkem"
286891,"2014","  Karlovarský","Celkem"
683287,"2014","  Ústecký","Celkem"
300552,"2014","  Liberecký","Celkem"
425246,"2014","  Královéhradecký","Celkem"
375817,"2014","  Pardubický","Celkem"
444680,"2014","  Vysočina","Celkem"
1058109,"2014","  Jihomoravský","Celkem"
512112,"2014","  Olomoucký","Celkem"
548107,"2014","  Zlínský","Celkem"
1014818,"2014","  Moravskoslezský","Celkem"
1237653,"2014","  Hl. město Praha","s ČOV"
913397,"2014","  Středočeský","s ČOV"
507298,"2014","  Jihočeský","s ČOV"
437745,"2014","  Plzeňský","s ČOV"
284423,"2014","  Karlovarský","s ČOV"
674265,"2014","  Ústecký","s ČOV"
291923,"2014","  Liberecký","s ČOV"
393481,"2014","  Královéhradecký","s ČOV"
364589,"2014","  Pardubický","s ČOV"
373670,"2014","  Vysočina","s ČOV"
1011316,"2014","  Jihomoravský","s ČOV"
483416,"2014","  Olomoucký","s ČOV"
490611,"2014","  Zlínský","s ČOV"
945642,"2014","  Moravskoslezský","s ČOV"
1248014,"2015","  Hl. město Praha","Celkem"
930914,"2015","  Středočeský","Celkem"
549165,"2015","  Jihočeský","Celkem"
477665,"2015","  Plzeňský","Celkem"
287273,"2015","  Karlovarský","Celkem"
687555,"2015","  Ústecký","Celkem"
302722,"2015","  Liberecký","Celkem"
430392,"2015","  Královéhradecký","Celkem"
380485,"2015","  Pardubický","Celkem"
447350,"2015","  Vysočina","Celkem"
1055220,"2015","  Jihomoravský","Celkem"
523532,"2015","  Olomoucký","Celkem"
549462,"2015","  Zlínský","Celkem"
1012545,"2015","  Moravskoslezský","Celkem"
1248014,"2015","  Hl. město Praha","s ČOV"
929099,"2015","  Středočeský","s ČOV"
510830,"2015","  Jihočeský","s ČOV"
446281,"2015","  Plzeňský","s ČOV"
286036,"2015","  Karlovarský","s ČOV"
678183,"2015","  Ústecký","s ČOV"
296097,"2015","  Liberecký","s ČOV"
403102,"2015","  Královéhradecký","s ČOV"
368562,"2015","  Pardubický","s ČOV"
391330,"2015","  Vysočina","s ČOV"
1014226,"2015","  Jihomoravský","s ČOV"
501592,"2015","  Olomoucký","s ČOV"
494811,"2015","  Zlínský","s ČOV"
946673,"2015","  Moravskoslezský","s ČOV"
1261065,"2016","  Hl. město Praha","Celkem"
954180,"2016","  Středočeský","Celkem"
548501,"2016","  Jihočeský","Celkem"
484143,"2016","  Plzeňský","Celkem"
288440,"2016","  Karlovarský","Celkem"
687092,"2016","  Ústecký","Celkem"
303585,"2016","  Liberecký","Celkem"
432481,"2016","  Královéhradecký","Celkem"
384169,"2016","  Pardubický","Celkem"
448111,"2016","  Vysočina","Celkem"
1053537,"2016","  Jihomoravský","Celkem"
525848,"2016","  Olomoucký","Celkem"
558418,"2016","  Zlínský","Celkem"
1014832,"2016","  Moravskoslezský","Celkem"
1261065,"2016","  Hl. město Praha","s ČOV"
951791,"2016","  Středočeský","s ČOV"
512055,"2016","  Jihočeský","s ČOV"
447246,"2016","  Plzeňský","s ČOV"
287398,"2016","  Karlovarský","s ČOV"
678965,"2016","  Ústecký","s ČOV"
298427,"2016","  Liberecký","s ČOV"
403588,"2016","  Královéhradecký","s ČOV"
375214,"2016","  Pardubický","s ČOV"
388454,"2016","  Vysočina","s ČOV"
1023094,"2016","  Jihomoravský","s ČOV"
506630,"2016","  Olomoucký","s ČOV"
504370,"2016","  Zlínský","s ČOV"
946216,"2016","  Moravskoslezský","s ČOV"
1273801,"2017","  Hl. město Praha","Celkem"
985976,"2017","  Středočeský","Celkem"
559475,"2017","  Jihočeský","Celkem"
491669,"2017","  Plzeňský","Celkem"
294116,"2017","  Karlovarský","Celkem"
689252,"2017","  Ústecký","Celkem"
304147,"2017","  Liberecký","Celkem"
439196,"2017","  Královéhradecký","Celkem"
385333,"2017","  Pardubický","Celkem"
443545,"2017","  Vysočina","Celkem"
1072800,"2017","  Jihomoravský","Celkem"
532041,"2017","  Olomoucký","Celkem"
568114,"2017","  Zlínský","Celkem"
1012203,"2017","  Moravskoslezský","Celkem"
1273801,"2017","  Hl. město Praha","s ČOV"
984867,"2017","  Středočeský","s ČOV"
523758,"2017","  Jihočeský","s ČOV"
459675,"2017","  Plzeňský","s ČOV"
292891,"2017","  Karlovarský","s ČOV"
680931,"2017","  Ústecký","s ČOV"
299954,"2017","  Liberecký","s ČOV"
407538,"2017","  Královéhradecký","s ČOV"
378352,"2017","  Pardubický","s ČOV"
387487,"2017","  Vysočina","s ČOV"
1042457,"2017","  Jihomoravský","s ČOV"
516273,"2017","  Olomoucký","s ČOV"
516336,"2017","  Zlínský","s ČOV"
950044,"2017","  Moravskoslezský","s ČOV"
1288421,"2018","  Hl. město Praha","Celkem"
1011970,"2018","  Středočeský","Celkem"
557797,"2018","  Jihočeský","Celkem"
502686,"2018","  Plzeňský","Celkem"
295285,"2018","  Karlovarský","Celkem"
686997,"2018","  Ústecký","Celkem"
307532,"2018","  Liberecký","Celkem"
434712,"2018","  Královéhradecký","Celkem"
387245,"2018","  Pardubický","Celkem"
445683,"2018","  Vysočina","Celkem"
1064552,"2018","  Jihomoravský","Celkem"
539395,"2018","  Olomoucký","Celkem"
566648,"2018","  Zlínský","Celkem"
1001076,"2018","  Moravskoslezský","Celkem"
1288421,"2018","  Hl. město Praha","s ČOV"
1009348,"2018","  Středočeský","s ČOV"
522187,"2018","  Jihočeský","s ČOV"
470905,"2018","  Plzeňský","s ČOV"
294390,"2018","  Karlovarský","s ČOV"
681115,"2018","  Ústecký","s ČOV"
302635,"2018","  Liberecký","s ČOV"
411841,"2018","  Královéhradecký","s ČOV"
379136,"2018","  Pardubický","s ČOV"
391099,"2018","  Vysočina","s ČOV"
1040317,"2018","  Jihomoravský","s ČOV"
517386,"2018","  Olomoucký","s ČOV"
518977,"2018","  Zlínský","s ČOV"
931300,"2018","  Moravskoslezský","s ČOV"
